語,發音,漢字、原文,中文意思
おおげさ,0,大袈裟,誇大、誇張、小題大作
オーケストラ,3,orchestra,管弦樂團
おおざっぱ,3,大雑把,草率地、粗枝大葉地
おおすじ,0,大筋,大綱、梗概、提綱
おおぜい,3,大勢,人數眾多、許多人、大家
おおぞら,3,大空,太空、天空
おおどおり,3,大通り,大街
オートバイ,3,auto+bicycle,摩托車
オートマチック/オートマティク,4,automatic,自動的、自動檔
オートメーション,4,automation,自動控制、自動裝置
オーバー,1,overcoat,外套、大衣
オーバー,1,over,外套
オーバーコート,1,overcoat,外套、大衣
オーバーする,1,over,超過
おおはば,0,大幅,寬幅、廣泛、大幅度
オープン,1,open,打開、開場、開店、公開、露天
おおまか,0,大まかな,大手大腳、潦草、籠統
おおみず,0,大水,洪水、大水
おおや,0,大家,房東、房產主
おおやけ,0,公,公、公家、公共
おおよそ,0,大凡,一般、普通大概
おか,0,丘,丘陵、小山包
おかあさま,2,お母様,〔敬語〕媽媽、令堂
おかあさん,2,お母さん,媽媽、令堂、母親
おかえり。,0,御帰り。,（你）回來了
おかえりなさい。,6,御帰りなさい。,（你）回來了
おかげ,0,御蔭,托福、多虧、多虧
おかけください。,,御掛け-下さい。,請坐
おかげさまで。,0,御蔭様で。,託您的福
おかし,2,お菓子,點心
おかしい,3,可笑しい,可笑、奇怪的、滑稽
おかす,2,犯す,違犯、冒犯
おかす,2,侵す,侵犯、侵害
おかず,0,おかず,菜、副食
おかね,0,お金,錢
おかまいなく。,5,御構いなく。,不顧、不管、不放在心上
おがむ,2,拝む,叩拜、作揖、懇求
おかわり,2,お代り,再盛一碗
おき,,置き,隔、每隔
おき,0,沖,海面、海上
おぎなう,3,補う,彌補、補償、補充
おきのどくに。,0,お気の毒に。,太遺憾了
おきる,2,起きる,起來、起床
おく,0,置く,放置、放下、設置
おく,1,億,億
おく,1,奥,裡頭、內部、盡頭、深處
おくがい,2,屋外,戶外、室外、屋外
おくさま,1,奥様,〔敬語〕夫人
おくさん,1,奥さん,夫人
おくじょう,0,屋上,屋頂
おくびょう,3,臆病,膽小、膽怯
おくらす,0,遅らす,推辭、拖延
おくりがな,0,送り仮名,漢字訓讀時寫在下面的假名
おくりもの,0,贈り物,禮物
おくる,0,送る,送、送行、寄、推辭
おくれ,0,遅れ,落後、不時興、敗興、輸、敗
おくれる,0,遅れる,遲、耽誤、落後、後進
（では）おげんきで,,（では）お元気で。,（那麼）請多保重
おげんきですか。,2,御元気ですか。,近來好嗎
おこさん,0,お子さん,小孩、令郎（尊稱對方的兒子）
おこす,2,起こす,發生、引起、叫醒、喚醒
おごそか,2,厳か,嚴肅、莊重
おこたる,3,怠る,怠慢、怠惰、懈怠、疏忽
おこない,0,行ない,行動、行為、品行
おこなう,0,行なう,實施、舉行
おこる,2,怒る,生氣
おこる,2,起こる,發生
おごる,0,奢る「夕食を〜」,奢侈
おさえる,2,押さえる/抑える,按壓、控制、掌握
おさきに。,0,御先に。,先、占先
おさけ,0,御酒,酒
おさない,3,幼い,幼小的
おさまる,3,収まる/納まる/治まる,納入、存、安定/平定、平靜/容納
おさめる,3,収める/納める/治める,收、放進、獲得/交納、收入/平定、治理
おさら,0,お皿,盤子
おさん,0,お産,出產
おじ（さん）,0,叔父、伯父（さん）,伯父、叔父
おしい,2,惜しい,可惜的
おじいさん,2,お爺さん,祖父、老爺爺
おしいれ,0,押入れ,壁櫥
おしえ,0,教え,教訓
おしえる,0,教える,教導、指點、教授
おじぎ,0,御辞儀,敬禮
おしきる,3,押し切る,切斷
おしこむ,3,押し込む,闖入
おじさん,0,小父さん,老白、叔叔
おしむ,2,惜しむ,愛惜
おしゃべり,2,お喋り,愛說話
おじゃまします。,5,御邪魔します。,打擾了
おしゃれ,2,お洒落,愛漂亮(的人)
おじょうさん,2,お嬢さん,令嬡
おしよせる,4,押し寄せる,蜂湧而來
おす,0,押す,推、壓、按
おす,2,雄,公、雄
おせじ,0,お世辞,恭維話
おせわになりました。,,御世話に-なりました。,受您照顧了
おせん,0,汚染,污染
おそい,0,遅い,遲緩的、慢
おそう,0,襲う,襲擊
おそくとも,2,遅くとも,最晚
おそらく,2,恐らく,恐怕
おそれ,3,恐れ,恐懼
おそれいる,2,恐れ入る,惶恐、不好意思
おそれる,3,恐れる,恐懼、害怕
おそろしい,4,恐ろしい,可怕的
おそわる,0,教わる,讓--教、跟--學習
おだいじに。,0,御大事に。,請保重、請好好照顧身体
おたがい,0,お互い（に）,彼此、互相
おたく,0,お宅,府上
おだてる,0,煽てる,煽動、奉承
おだやか,2,穏やか,平靜
おちこむ,0,落ち込む,陷入
おちつき,0,落ち着き,沉著
おちつく,0,落ち着く,穩定下來、安定
おちば,1,落ち葉,落葉
おちゃ,0,お茶,茶
おちる,2,落ちる,落下、掉落、脫落
おつ,1,乙,乙、別緻、奇特
おつかい,0,お使い,辦事、購物
おっかない,4,おっかない,可怕
おっしゃる,3,仰る,說
おっと,0,夫,丈夫
おつり,0,御釣,找回的銭、找零
おてあげ,0,お手上げ,毫無辦法
おてあらい,3,御手洗い,廁所、洗手間
おでかけ,0,お出掛け,出門
おてつだいさん,2,お手伝いさん,幫傭
おと,2,音,聲音
おとうさん,2,お父さん,父親、爸爸
おとうと,4,弟,弟弟
おどおど,1,おどおど,提心吊膽
おどかす,0,脅かす,威脅、嚇唬
おとこ,3,男,男子
おとこのこ,3,男の子,男孩
おとこのひと,0,男の人,男人
おとしもの,0,落し物,失物、遺失物品
おとす,2,落とす,扔下、丟下、使〜落下
おどす,0,脅す,威脅、恐嚇
おとずれる,4,訪れる,來訪、到來
おととい,0,一昨日,前天
おととし,2,一昨年,昨年
おとな,0,大人,大人、成人
おとなしい,4,大人しい,老實的
おとも,2,お供,陪伴跟隨
おどり,0,踊り,舞蹈
おとる,0,劣る,劣於、比不上
おどる,0,踊る,跳舞
おとろえる,4,衰える,衰落
おどろかす,4,驚かす,使--吃驚、驚動
おどろき,4,驚き,吃驚、驚恐
おどろく,3,驚く,吃驚、驚訝、出乎意料
おないどし,2,同い年,同年、同歲
おなか,0,お腹,肚子
おなじ,0,同じ,一樣、相同
おに,2,鬼,鬼、怪物、冷酷的人
おにいさん,2,お兄さん,哥哥
おねえさん,2,お姉さん,姊姊
おねがいします。,,御願い-します。,拜託您了、麻煩請…、請…
おのおの,2,各々,各自
おのずから,0,自ずから,自然而然地
おば,0,叔母,伯母
おば（さん）,0,叔母、伯母（さん）,伯母
おばあさん,2,お婆さん,祖母、老婆婆
おばさん,0,小母さん,大娘、大嬸
おはようございます。,8,御早う御座います。,早安、早
おび,1,帯,帶子
おびえる,0,怯える,畏怯、害怕、恐懼
おびただしい,5,夥しい,很多
おびやかす,4,脅かす,威脅、強迫
おひる,2,お昼,白天、中午、午餐
おびる,0,帯びる,帶有、附有
オフィス,1,office,辦公室
おふくろ,0,御袋,母親
おふろ,2,御風呂,藻盆、浴池
おべんとう,0,御弁当,便當
おぼえ,2,覚え,記憶、記憶力
おぼえる,3,覚える,記得、學會
おぼれる,0,溺れる,溺水
おまいり,0,御参り,參拜
おまえ,0,御前,〔卑語〕你
おまけ,0,御負け,另外奉送、減價
おまたせしました。,,御待たせ-しました。,讓您久等了
おまちください。,,御待ち-下さい。,等候一下子
おまちどおさま。,0,御待ち遠様。,抱歉讓你久等了
おまつり,0,御祭り,祭祀、廟會
おまわりさん,2,お巡りさん,警察、巡警
おみまい,0,御見舞い,探望
おみや,0,御宮,神社
おみやげ,0,御土産,禮物、記念品
おむつ,2,おむつ,尿布
おめでたい,0,御目出度い,可喜可賀、值得慶賀
おめでとう。,0,御目出度う。,恭禧
おめでとうございます。,,御目出度う-御座居ます。,恭禧
おめにかかる,0,御目に掛かる,〔謙讓語〕見面、拜會
おも,1,主な/主に,主要的、重要的/主要
おもい,0,重い,重、沉重
おもいがけない,5,思い掛けない,意想不到的、出乎意料
おもいきり,0,思い切り,死心、盡情地
おもいこむ,0,思い込む,深信不疑、鑽牛角尖
おもいだす,2,思い出す,想起、回憶起
おもいつき,0,思い付き,一時想起
おもいっきり,0,思い切り,盡情地
おもいつく,0,思い付く,想到、想出
おもいで,0,思い出,回憶
おもう,2,思う,想、認為
おもしろい,4,面白い,有趣、好笑
おもたい,0,重たい,重、沉重的
おもちゃ,2,玩具,玩具
おもて,3,表,正面、表面
おもむき,0,趣,趣味
おもむく,3,赴く,赴、前往
おもわず,2,思わず,沒想到
おもんじる/ずる,0,重んじる/ずる,重視、尊重
おや,1,おや,咦、哎呀（表驚訝）
おや,1,親,父母
おやじ,0,親父,父親、老板
おやすみ。,0,お休み。,晚安
おやすみなさい。,6,お休みなさい。,晚安
おやつ,2,御八つ,點心（下午３點左右吃的）
おやゆび,0,親指,大姆指
およぎ,3,泳ぎ,游
およぐ,2,泳ぐ,泳游
およそ,0,およそ,大概
および,0,及び,及、以及、和
およぶ,0,及ぶ,及於、達到
およぼす,0,及ぼす,影響、波及
おり,2,折,折疊、機會
おり,2,檻,檻、圏、籠
オリエンテーション,5,orientation,入學教育、定向
おりかえす,0,折り返す,折回、立即回覆
おりもの,0,織物,織品、布料
おりる,2,降りる,從高處下來
おりる,2,下りる,退位、降職
オリンピック,4,Olympic,奧林匹克
おる,1,居る[「いる」の謙譲語],〔謙讓語〕有、在
おる,1,折る,折
おる,1,織る,織
オルガン,0,órgão,風琴
おれ,0,俺,〔卑語〕我（男子對同輩以下自稱）
おれい,0,御礼,謝禮、謝意
おれる,2,折れる,折斷、轉彎
オレンジ,2,orange,橘子、橙色
おろか,1,愚か,愚笨
おろす,2,卸す,批發
おろす,2,下ろす/降ろす,放下、取出/降下
おろそか,2,疎か,草率、疏忽
おわり,0,終わり,結束、終點
おわる,0,終わる,終了、結束
おわる,,終わる,終了、結束
おん,0,音,聲色、音色
おん,1,恩,恩情、恩典
おんがく,0,音楽,音樂
おんけい,0,恩恵,恩惠
おんしつ,0,温室,溫室栽培
おんせん,0,温泉,溫泉
おんたい,0,温帯,溫帶
おんだん,0,温暖,溫暖
おんちゅう,0,御中,啟（寄給機構的書信敬稱）
おんど,1,温度,溫度
おんな,3,女,女子、婦女、雌的
おんなのこ,3,女の子,女孩、少女
おんなのひと,3,女の人,女人
おんぶ,1,負んぶ,背、叫人負擔
オンライン,3,online,聯線、線上
おんわ,1,温和,溫和、穩健
か,,家,職業
か,0,蚊,蚊子
か,1,可,可、可以
か,1,課,課、股
か,,下,情況下
か,,化,事物的變化
か,,日,日數
か,,歌,歌曲
が,,画,繪畫
が,1,画,圖畫
カー,1,car,汽車、車輛
カーテン,1,curtain,窗簾、幕
カード,1,card,卡片
カーブ,1,curve,曲線、彎曲
カーペット,1,carpet,地毯
かい,,回,回、〜次
かい,,階,樓
かい,,会,會
かい,1,回,回、次
かい,1,貝,貝類、貝殼
かい,1,会,會（有相同目的而在一起的組織）
かい,,界,界
かい,,海,海
がい,1,害,害、妨害
がい,,外,之外
がい,,街,街、〜區
がい,0,外,外
かいあく,0,改悪,改壊
かいいん,0,会員,會員
かいうん,0,海運,海運
かいが,1,絵画,繪畫
がいか,1,外貨,外幣、外匯、外國貨
かいかい,0,開会,開會
かいがい,1,海外,海外
かいかく,0,改革,改革
かいがら,0,貝殻,貝殼
かいかん,0,会館,會館
かいがん,0,海岸,海岸
がいかん,0,外観,外觀
かいぎ,1,会議,會議
かいぎしつ,3,会議室,會議室
かいきゅう,0,階級,等級、階級
かいきょう,0,海峡,海峽
かいけい,0,会計,會計、結帳
かいけつ,0,解決,將問題做個解決
かいけん,0,会見,在特定的場所規定下與人會面
かいご,1,介護,照顧病人
かいごう,0,会合,因為某話題而聚集
がいこう,0,外交,與外國的交際或是交涉
がいこく,0,外国,國外
がいこくじん,4,外国人,外國人
かいさい,0,開催,會議或是催促某事物開始
かいさつ,0,改札,檢票
かいさん,0,解散,解散
かいし,0,開始,開始
かいしゃ,0,会社,公司
かいしゃく,1,解釈,說明、解釋
かいしゅう,0,回収,回收
かいしゅう,0,改修,修理已壞的事物
かいじゅう,0,怪獣,怪物
がいしゅつ,0,外出,出去、出門
かいじょ,1,解除,解除特別的條件回復到平常狀態
かいじょう,0,会場,會場
がいしょう,0,外相,外務大臣
かいすいよく,3,海水浴,去海邊玩樂
かいすう,3,回数,回數、次數
かいすうけん,0,回数券,多次票、回數券
がいする,3,害する,傷害、殺害
かいせい,0,快晴,晴朗
かいせい,0,改正,改正、修改
かいせつ,0,解説,解說、評論、說明
がいせつ,0,概説,概說、概論
かいぜん,0,改善,改善
かいそう,0,回送,轉送、轉寄、轉遞
かいそう,0,階層,階層
かいぞう,0,改造,改造、改組
かいたく,0,開拓,開墾、開拓
かいだん,0,階段,階梯、等級
かいだん,0,会談,會談
かいつう,0,開通,開通、打通、通車
かいてい,0,改定,改訂、修改
かいてい,0,改訂,修訂
かいてき,0,快適,舒適、舒服
かいてん,0,回転,迴轉、旋轉、週轉
ガイド,1,guide,導覽、導遊(者)、解說書
かいとう,0,回答、解答,回答、答案
かいどう,0,街道,交通上重要的道路
がいとう,0,街頭,路邊、路上
がいとう,0,該当,符合一定條件的事物
ガイドブック,4,guidebook,導覽書、參考手冊
かいにゅう,0,介入,切入事情或是紛爭
がいねん,1,概念,某事物的概括內容
かいはつ,0,開発,將潛在才能引出之類
かいばつ,0,海抜,一定的駭面為基準來作為數據
がいぶ,1,外部,物體外側
かいふく,0,回復,一度惡化的事物、回覆成原來狀態
かいほう,0,開放,窗戶或是門打開
かいほう,0,解放,解放
かいほう,1,介抱,看護(病人)
